State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Code,County Code,FIPS,State Name,County Name,RUCC,State Name Code,County Full Name,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
California,Alameda,2018,365,175,173,5,10,2,0,223,76,51,0,10,72,283,0,06,001,06001,California,Alameda,1.0,CA,Alameda County,1666596,1668412,1680466,1644047,1628259,1622188
California,Butte,2018,365,152,173,22,11,3,4,445,104,54,0,0,203,161,1,06,007,06007,California,Butte,3.0,CA,Butte County,230330,218726,210151,206336,207369,207172
California,Contra Costa,2018,365,203,144,7,9,2,0,245,71,48,0,1,108,256,0,06,013,06013,California,Contra Costa,1.0,CA,Contra Costa County,1150840,1152883,1166069,1163941,1157019,1155025
California,Fresno,2018,365,84,183,79,19,0,0,185,133,74,0,3,231,121,10,06,019,06019,California,Fresno,1.0,CA,Fresno County,991298,997847,1009552,1013103,1015359,1017162
California,Humboldt,2018,365,324,35,5,1,0,0,163,53,34,0,2,251,94,18,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136502,135839,136262,134897,134944,133985
California,Imperial,2018,365,95,220,41,7,2,0,286,108,62,0,7,129,100,129,06,025,06025,California,Imperial,3.0,CA,Imperial County,181062,180439,179612,179138,178940,179057
California,Kern,2018,365,65,170,103,27,0,0,190,142,84,0,0,246,106,13,06,029,06029,California,Kern,2.0,CA,Kern County,893618,898898,905910,912709,916751,913820
California,Los Angeles,2018,365,35,222,89,18,1,0,201,130,77,0,32,175,157,1,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533,10011602,9992813,9809462,9719765,9663345
California,Madera,2018,365,152,178,30,5,0,0,165,100,56,0,0,210,120,35,06,039,06039,California,Madera,1.0,CA,Madera County,156373,156717,156345,158966,160329,162858
New York,Erie,2018,365,276,87,2,0,0,0,112,65,40,0,17,204,144,0,36,029,36029,New York,Erie,1.0,NY,Erie County,919941,918813,952342,952912,948423,946147
New York,Monroe,2018,365,301,60,4,0,0,0,108,58,36,0,6,205,154,0,36,055,36055,New York,Monroe,1.0,NY,Monroe County,744239,742605,757551,755813,750887,748482
