State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State Code,County Code,FIPS,State Name,County Name,RUCC,State Name Code,County Full Name,Population
California,Glenn,2018,363,275,72,9,6,1,0,230,69,36,0,0,154,136,73,06,021,06021,California,Glenn,6.0,CA,Glenn County,27899
California,Humboldt,2018,365,324,35,5,1,0,0,163,53,34,0,2,251,94,18,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136502
California,Imperial,2018,365,95,220,41,7,2,0,286,108,62,0,7,129,100,129,06,025,06025,California,Imperial,3.0,CA,Imperial County,181062
California,Kern,2018,365,65,170,103,27,0,0,190,142,84,0,0,246,106,13,06,029,06029,California,Kern,2.0,CA,Kern County,893618
California,Lake,2018,357,347,7,1,1,1,0,208,43,33,0,0,344,11,2,06,033,06033,California,Lake,4.0,CA,Lake County,64394
California,Los Angeles,2018,365,35,222,89,18,1,0,201,130,77,0,32,175,157,1,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10061533
California,Plumas,2018,350,219,121,8,2,0,0,159,84,35,0,0,0,350,0,06,063,06063,California,Plumas,9.0,CA,Plumas County,18830
California,Siskiyou,2018,365,269,56,16,24,0,0,196,119,41,0,0,241,124,0,06,093,06093,California,Siskiyou,7.0,CA,Siskiyou County,43624
California,Trinity,2018,291,173,99,12,7,0,0,191,79,44,0,0,0,291,0,06,105,06105,California,Trinity,8.0,CA,Trinity County,12598
Nebraska,Sarpy,2018,349,287,62,0,0,0,0,93,56,35,0,0,0,349,0,31,153,31153,Nebraska,Sarpy,2.0,NE,Sarpy County,184106
New York,Dutchess,2018,349,327,20,1,1,0,0,156,46,31,0,0,349,0,0,36,027,36027,New York,Dutchess,2.0,NY,Dutchess County,293814
New York,Essex,2018,365,319,44,2,0,0,0,108,54,41,0,0,363,2,0,36,031,36031,New York,Essex,6.0,NY,Essex County,37309
New York,Hamilton,2018,352,341,11,0,0,0,0,97,45,33,0,0,352,0,0,36,041,36041,New York,Hamilton,8.0,NY,Hamilton County,4453
New York,Jefferson,2018,329,307,20,2,0,0,0,105,47,33,0,0,329,0,0,36,045,36045,New York,Jefferson,3.0,NY,Jefferson County,112266
Pennsylvania,Armstrong,2018,360,295,64,1,0,0,0,143,58,38,0,0,227,133,0,42,005,42005,Pennsylvania,Armstrong,1.0,PA,Armstrong County,65411
Pennsylvania,Blair,2018,359,293,65,1,0,0,0,132,59,38,0,0,239,120,0,42,013,42013,Pennsylvania,Blair,3.0,PA,Blair County,122567
Pennsylvania,Indiana,2018,355,322,32,1,0,0,0,105,50,35,0,0,355,0,0,42,063,42063,Pennsylvania,Indiana,4.0,PA,Indiana County,84578
Pennsylvania,Somerset,2018,357,330,27,0,0,0,0,90,47,33,0,0,357,0,0,42,111,42111,Pennsylvania,Somerset,6.0,PA,Somerset County,73951
Pennsylvania,Tioga,2018,347,310,37,0,0,0,0,97,52,35,0,1,286,60,0,42,117,42117,Pennsylvania,Tioga,8.0,PA,Tioga County,40725
Texas,Dallas,2018,365,240,106,16,3,0,0,161,77,44,0,21,185,158,1,48,113,48113,Texas,Dallas,1.0,TX,Dallas County,2629764
Texas,Hood,2018,362,316,41,5,0,0,0,133,54,33,0,0,362,0,0,48,221,48221,Texas,Hood,4.0,TX,Hood County,60249
Texas,Maverick,2018,342,292,50,0,0,0,0,100,54,28,0,0,0,342,0,48,323,48323,Texas,Maverick,3.0,TX,Maverick County,57970
California,Glenn,2019,362,302,60,0,0,0,0,86,55,40,0,0,277,68,17,06,021,06021,California,Glenn,6.0,CA,Glenn County,28445
California,Humboldt,2019,363,353,10,0,0,0,0,65,40,27,2,1,272,50,38,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,135839
California,Imperial,2019,365,125,219,19,2,0,0,185,93,58,0,1,210,79,75,06,025,06025,California,Imperial,3.0,CA,Imperial County,180439
California,Kern,2019,365,119,151,87,6,1,1,548,122,67,0,2,260,73,30,06,029,06029,California,Kern,2.0,CA,Kern County,898898
California,Lake,2019,360,360,0,0,0,0,0,50,41,31,0,0,356,3,1,06,033,06033,California,Lake,4.0,CA,Lake County,64463
California,Los Angeles,2019,365,66,213,57,28,1,0,201,136,71,0,36,197,124,8,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,10011602
California,Plumas,2019,341,248,88,5,0,0,0,138,68,25,0,0,0,341,0,06,063,06063,California,Plumas,9.0,CA,Plumas County,19052
California,Siskiyou,2019,365,332,29,2,2,0,0,161,49,36,0,0,262,103,0,06,093,06093,California,Siskiyou,7.0,CA,Siskiyou County,43663
California,Trinity,2019,269,246,21,2,0,0,0,113,49,18,0,0,0,269,0,06,105,06105,California,Trinity,8.0,CA,Trinity County,12337
Nebraska,Sarpy,2019,350,298,52,0,0,0,0,80,55,29,0,0,0,350,0,31,153,31153,Nebraska,Sarpy,2.0,NE,Sarpy County,186893
New York,Dutchess,2019,331,319,12,0,0,0,0,90,45,34,0,0,331,0,0,36,027,36027,New York,Dutchess,2.0,NY,Dutchess County,293934
New York,Essex,2019,364,331,33,0,0,0,0,80,50,42,0,0,362,2,0,36,031,36031,New York,Essex,6.0,NY,Essex County,36987
New York,Franklin,2019,177,177,0,0,0,0,0,49,42,31,0,0,177,0,0,36,033,36033,New York,Franklin,7.0,NY,Franklin County,50102
New York,Hamilton,2019,323,321,2,0,0,0,0,54,44,35,0,0,323,0,0,36,041,36041,New York,Hamilton,8.0,NY,Hamilton County,4438
New York,Jefferson,2019,205,198,7,0,0,0,0,64,46,35,0,0,205,0,0,36,045,36045,New York,Jefferson,3.0,NY,Jefferson County,110143
Pennsylvania,Armstrong,2019,365,323,42,0,0,0,0,71,51,37,0,0,246,119,0,42,005,42005,Pennsylvania,Armstrong,1.0,PA,Armstrong County,64699
Pennsylvania,Blair,2019,352,279,73,0,0,0,0,92,60,41,0,0,211,141,0,42,013,42013,Pennsylvania,Blair,3.0,PA,Blair County,121942
Pennsylvania,Indiana,2019,350,324,26,0,0,0,0,93,49,38,0,0,350,0,0,42,063,42063,Pennsylvania,Indiana,4.0,PA,Indiana County,84022
Pennsylvania,Somerset,2019,359,340,19,0,0,0,0,80,48,36,0,0,359,0,0,42,111,42111,Pennsylvania,Somerset,6.0,PA,Somerset County,73442
Pennsylvania,Tioga,2019,361,342,19,0,0,0,0,74,47,36,0,3,288,70,0,42,117,42117,Pennsylvania,Tioga,8.0,PA,Tioga County,40665
Texas,Dallas,2019,365,227,132,6,0,0,0,143,72,45,0,20,199,146,0,48,113,48113,Texas,Dallas,1.0,TX,Dallas County,2635603
Texas,Hood,2019,357,325,31,1,0,0,0,133,50,35,0,0,357,0,0,48,221,48221,Texas,Hood,4.0,TX,Hood County,61762
Texas,Maverick,2019,339,287,51,1,0,0,0,104,54,25,0,0,0,339,0,48,323,48323,Texas,Maverick,3.0,TX,Maverick County,58357
California,Glenn,2020,364,251,84,7,22,0,0,197,82,43,0,0,203,143,18,06,021,06021,California,Glenn,6.0,CA,Glenn County,28904
California,Humboldt,2020,366,333,30,3,0,0,0,109,44,29,0,0,236,68,62,06,023,06023,California,Humboldt,5.0,CA,Humboldt County,136262
California,Imperial,2020,366,119,219,26,2,0,0,166,97,58,0,2,181,73,110,06,025,06025,California,Imperial,3.0,CA,Imperial County,179612
California,Kern,2020,366,78,158,98,30,2,0,267,140,81,0,0,206,143,17,06,029,06029,California,Kern,2.0,CA,Kern County,905910
California,Lake,2020,351,341,6,1,3,0,0,180,43,32,0,0,336,13,2,06,033,06033,California,Lake,4.0,CA,Lake County,68199
California,Los Angeles,2020,366,60,169,77,44,16,0,235,165,83,0,23,208,130,5,06,037,06037,California,Los Angeles,1.0,CA,Los Angeles County,9992813
California,Plumas,2020,360,183,127,16,20,10,4,469,146,49,0,0,0,360,0,06,063,06063,California,Plumas,9.0,CA,Plumas County,19746
California,Siskiyou,2020,366,305,38,10,10,2,1,359,61,36,0,0,246,120,0,06,093,06093,California,Siskiyou,7.0,CA,Siskiyou County,43995
California,Trinity,2020,343,256,59,12,16,0,0,193,79,27,0,0,0,343,0,06,105,06105,California,Trinity,8.0,CA,Trinity County,16091
Nebraska,Sarpy,2020,316,279,35,2,0,0,0,149,52,29,0,0,0,316,0,31,153,31153,Nebraska,Sarpy,2.0,NE,Sarpy County,191167
New York,Dutchess,2020,331,322,9,0,0,0,0,87,45,35,0,0,331,0,0,36,027,36027,New York,Dutchess,2.0,NY,Dutchess County,295901
New York,Essex,2020,365,350,15,0,0,0,0,80,47,38,0,0,360,5,0,36,031,36031,New York,Essex,6.0,NY,Essex County,37275
