Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant Concentration,Pollutant
2018,California,Alameda,1,6,1,6001,0.616945245,CO
2018,California,Butte,7,6,3,6007,0.468219178,CO
2018,California,Contra Costa,13,6,1,6013,0.428310502,CO
2018,California,Fresno,19,6,1,6019,0.379499072,CO
2018,California,Humboldt,23,6,5,6023,0.232777778,CO
2018,California,Imperial,25,6,3,6025,0.604558405,CO
2018,California,Kern,29,6,2,6029,0.291219512,CO
2018,California,Los Angeles,37,6,1,6037,0.499777733,CO
2018,California,Madera,39,6,1,6039,0.248179272,CO
2018,New York,Erie,29,36,1,36029,0.288736264,CO
2018,New York,Monroe,55,36,1,36055,0.311065007,CO
2018,Pennsylvania,Adams,1,42,3,42001,0.131868132,CO
2018,Pennsylvania,Allegheny,3,42,1,42003,0.477094972,CO
2018,Pennsylvania,Cambria,21,42,3,42021,0.174104683,CO
2018,Pennsylvania,Lackawanna,69,42,2,42069,0.366849315,CO
2018,Pennsylvania,Philadelphia,101,42,1,42101,0.478482229,CO
2018,Pennsylvania,York,133,42,2,42133,0.341025641,CO
2018,Texas,Bexar,29,48,1,48029,0.449863014,CO
2018,Texas,Dallas,113,48,1,48113,0.304559271,CO
2018,Texas,El Paso,141,48,2,48141,0.442158859,CO
2018,Texas,Harris,201,48,1,48201,0.43507326,CO
2018,Texas,Jefferson,245,48,2,48245,0.181212121,CO
2018,Texas,Tarrant,439,48,1,48439,0.470684932,CO
2018,Texas,Travis,453,48,1,48453,0.468493151,CO
2019,California,Alameda,1,6,1,6001,0.55,CO
2019,California,Butte,7,6,3,6007,0.315977961,CO
2019,California,Contra Costa,13,6,1,6013,0.413259669,CO
2019,California,Fresno,19,6,1,6019,0.430693069,CO
2019,California,Humboldt,23,6,5,6023,0.28551532,CO
2019,California,Imperial,25,6,3,6025,0.443835616,CO
2019,California,Kern,29,6,2,6029,0.326648352,CO
2019,California,Los Angeles,37,6,1,6037,0.475232007,CO
2019,New York,Erie,29,36,1,36029,0.303013699,CO
2019,New York,Monroe,55,36,1,36055,0.304055944,CO
2019,Pennsylvania,Adams,1,42,3,42001,0.139106145,CO
2019,Pennsylvania,Allegheny,3,42,1,42003,0.506574074,CO
2019,Pennsylvania,Cambria,21,42,3,42021,0.163561644,CO
2019,Pennsylvania,Lackawanna,69,42,2,42069,0.275139665,CO
2019,Pennsylvania,Philadelphia,101,42,1,42101,0.481520693,CO
2019,Texas,Bexar,29,48,1,48029,0.426243094,CO
2019,Texas,Dallas,113,48,1,48113,0.273463687,CO
2019,Texas,El Paso,141,48,2,48141,0.414822134,CO
2019,Texas,Harris,201,48,1,48201,0.411397059,CO
2019,Texas,Tarrant,439,48,1,48439,0.464265928,CO
2019,Texas,Travis,453,48,1,48453,0.500821918,CO
2020,California,Alameda,1,6,1,6001,0.588383562,CO
2020,California,Butte,7,6,3,6007,0.40316092,CO
2020,California,Contra Costa,13,6,1,6013,0.535068493,CO
2020,California,Fresno,19,6,1,6019,0.554066986,CO
2020,California,Humboldt,23,6,5,6023,0.343575419,CO
2020,California,Imperial,25,6,3,6025,0.529585799,CO
2020,California,Kern,29,6,2,6029,0.406104651,CO
2020,California,Los Angeles,37,6,1,6037,0.495568783,CO
2020,New York,Erie,29,36,1,36029,0.280918221,CO
2020,New York,Monroe,55,36,1,36055,0.276404494,CO
2020,Pennsylvania,Adams,1,42,3,42001,0.062021858,CO
2020,Pennsylvania,Allegheny,3,42,1,42003,0.468093385,CO
2020,Pennsylvania,Cambria,21,42,3,42021,0.16908078,CO
2020,Pennsylvania,Lackawanna,69,42,2,42069,0.281967213,CO
2020,Pennsylvania,Philadelphia,101,42,1,42101,0.516131989,CO
2020,Texas,Bexar,29,48,1,48029,0.443370166,CO
2020,Texas,Dallas,113,48,1,48113,0.281147541,CO
2020,Texas,El Paso,141,48,2,48141,0.354618474,CO
2020,Texas,Harris,201,48,1,48201,0.402193784,CO
2020,Texas,Tarrant,439,48,1,48439,0.428688525,CO
2020,Texas,Travis,453,48,1,48453,0.585479452,CO
2021,California,Alameda,1,6,1,6001,0.509132948,CO
2021,California,Butte,7,6,3,6007,0.31516035,CO
2021,California,Contra Costa,13,6,1,6013,0.431273063,CO
2021,California,Fresno,19,6,1,6019,0.50738189,CO
2021,California,Humboldt,23,6,5,6023,0.272916667,CO
2021,California,Imperial,25,6,3,6025,0.517857143,CO
2021,California,Kern,29,6,2,6029,0.401643836,CO
2021,California,Los Angeles,37,6,1,6037,0.487903226,CO
2021,New York,Erie,29,36,1,36029,0.28781575,CO
2021,New York,Monroe,55,36,1,36055,0.290529248,CO
2021,Pennsylvania,Adams,1,42,3,42001,0.142152466,CO
2021,Pennsylvania,Allegheny,3,42,1,42003,0.578711485,CO
2021,Pennsylvania,Cambria,21,42,3,42021,0.243626062,CO
2021,Pennsylvania,Lackawanna,69,42,2,42069,0.246820809,CO
2021,Pennsylvania,Philadelphia,101,42,1,42101,0.500183824,CO
2021,Texas,Bexar,29,48,1,48029,0.204829545,CO
2021,Texas,Dallas,113,48,1,48113,0.286337209,CO
2021,Texas,El Paso,141,48,2,48141,0.335089463,CO
2021,Texas,Harris,201,48,1,48201,0.465221489,CO
2021,Texas,Tarrant,439,48,1,48439,0.488919668,CO
2021,Texas,Travis,453,48,1,48453,0.601917808,CO
2022,California,Alameda,1,6,1,6001,0.494459834,CO
2022,California,Butte,7,6,3,6007,0.329005525,CO
2022,California,Contra Costa,13,6,1,6013,0.396666667,CO
2022,California,Fresno,19,6,1,6019,0.505596107,CO
2022,California,Humboldt,23,6,5,6023,0.245753425,CO
2022,California,Imperial,25,6,3,6025,0.553216374,CO
2022,California,Kern,29,6,2,6029,0.356198347,CO
2022,California,Los Angeles,37,6,1,6037,0.472799321,CO
2022,New York,Erie,29,36,1,36029,0.284247539,CO
2022,New York,Monroe,55,36,1,36055,0.281444759,CO
2022,Pennsylvania,Adams,1,42,3,42001,0.151253482,CO
2022,Pennsylvania,Allegheny,3,42,1,42003,0.529537037,CO
2022,Pennsylvania,Cambria,21,42,3,42021,0.422714681,CO
2022,Pennsylvania,Lackawanna,69,42,2,42069,0.396132597,CO
2022,Pennsylvania,Philadelphia,101,42,1,42101,0.480983302,CO
2022,Texas,Bexar,29,48,1,48029,0.317808219,CO
2022,Texas,Dallas,113,48,1,48113,0.273351648,CO
2022,Texas,El Paso,141,48,2,48141,0.320058997,CO
2022,Texas,Harris,201,48,1,48201,0.462286861,CO
2022,Texas,Tarrant,439,48,1,48439,0.442032967,CO
2022,Texas,Travis,453,48,1,48453,0.563230241,CO
2023,California,Alameda,1,6,1,6001,0.519230769,CO
2023,California,Butte,7,6,3,6007,0.312424242,CO
2023,California,Contra Costa,13,6,1,6013,0.344949027,CO
2023,California,Fresno,19,6,1,6019,0.45,CO
2023,California,Humboldt,23,6,5,6023,0.314736842,CO
2023,California,Imperial,25,6,3,6025,0.421126761,CO
2023,California,Kern,29,6,2,6029,0.328690808,CO
2023,California,Los Angeles,37,6,1,6037,0.441769352,CO
2023,New York,Erie,29,36,1,36029,0.314697802,CO
2023,New York,Monroe,55,36,1,36055,0.313210445,CO
2023,Pennsylvania,Adams,1,42,3,42001,0.201120448,CO
2023,Pennsylvania,Allegheny,3,42,1,42003,0.631872146,CO
2023,Pennsylvania,Cambria,21,42,3,42021,0.341597796,CO
2023,Pennsylvania,Lackawanna,69,42,2,42069,0.337808219,CO
2023,Pennsylvania,Philadelphia,101,42,1,42101,0.502012809,CO
2023,Texas,Bexar,29,48,1,48029,0.35369863,CO
2023,Texas,Dallas,113,48,1,48113,0.302465753,CO
2023,Texas,El Paso,141,48,2,48141,0.398640483,CO
2023,Texas,Harris,201,48,1,48201,0.446233522,CO
2023,Texas,Tarrant,439,48,1,48439,0.473714286,CO
2023,Texas,Travis,453,48,1,48453,0.59941349,CO
2018,California,Alameda,1,6,1,6001,22.76989918,NO2
2018,California,Butte,7,6,3,6007,15.1767313,NO2
2018,California,Contra Costa,13,6,1,6013,13.16342525,NO2
2018,California,Fresno,19,6,1,6019,21.86646226,NO2
2018,California,Humboldt,23,6,5,6023,4.431055901,NO2
2018,California,Imperial,25,6,3,6025,23.41910331,NO2
2018,California,Kern,29,6,2,6029,23.06761696,NO2
2018,California,Los Angeles,37,6,1,6037,27.091403,NO2
2018,California,Madera,39,6,1,6039,12.64122563,NO2
2018,Pennsylvania,Adams,1,42,3,42001,2.9390681,NO2
2018,Pennsylvania,Allegheny,3,42,1,42003,16.60308123,NO2
2018,Pennsylvania,Cambria,21,42,3,42021,13.12391931,NO2
2018,Pennsylvania,Lackawanna,69,42,2,42069,20.45706371,NO2
