Year,State,County,County Code,State Code,RUCC,FIPS,Pollutant concentration (PPM),State Name Code,County Full Name,Population,Pollutant,Max AQI
2018,California,Alameda,001,06,1.0,06001,0.6169452449567724,CA,Alameda County,1666596,CO,150.0
2018,California,Butte,007,06,3.0,06007,0.4682191780821918,CA,Butte County,230330,CO,150.0
2018,California,Contra Costa,013,06,1.0,06013,0.428310502283105,CA,Contra Costa County,1150840,CO,150.0
2018,California,Fresno,019,06,1.0,06019,0.3794990723562152,CA,Fresno County,991298,CO,150.0
2018,California,Humboldt,023,06,5.0,06023,0.23277777777777778,CA,Humboldt County,136502,CO,150.0
2018,California,Imperial,025,06,3.0,06025,0.6045584045584045,CA,Imperial County,181062,CO,150.0
2018,California,Kern,029,06,2.0,06029,0.29121951219512193,CA,Kern County,893618,CO,150.0
2018,California,Los Angeles,037,06,1.0,06037,0.49977773287532834,CA,Los Angeles County,10061533,CO,150.0
2018,California,Madera,039,06,1.0,06039,0.2481792717086835,CA,Madera County,156373,CO,150.0
2018,New York,Erie,029,36,1.0,36029,0.2887362637362637,NY,Erie County,919941,CO,150.0
2018,New York,Monroe,055,36,1.0,36055,0.3110650069156293,NY,Monroe County,744239,CO,150.0
2018,Pennsylvania,Adams,001,42,3.0,42001,0.13186813186813187,PA,Adams County,103035,CO,150.0
2018,Pennsylvania,Allegheny,003,42,1.0,42003,0.4770949720670391,PA,Allegheny County,1217508,CO,150.0
2018,Pennsylvania,Cambria,021,42,3.0,42021,0.1741046831955923,PA,Cambria County,131478,CO,150.0
2018,Pennsylvania,Lackawanna,069,42,2.0,42069,0.36684931506849316,PA,Lackawanna County,210301,CO,150.0
2018,Pennsylvania,Philadelphia,101,42,1.0,42101,0.4784822286263209,PA,Philadelphia County,1586422,CO,150.0
2018,Pennsylvania,York,133,42,2.0,42133,0.34102564102564104,PA,York County,448417,CO,150.0
2018,Texas,Bexar,029,48,1.0,48029,0.44986301369863013,TX,Bexar County,1981061,CO,150.0
2018,Texas,Dallas,113,48,1.0,48113,0.30455927051671733,TX,Dallas County,2629764,CO,150.0
2018,Texas,El Paso,141,48,2.0,48141,0.4421588594704684,TX,El Paso County,835590,CO,150.0
2018,Texas,Harris,201,48,1.0,48201,0.4350732600732601,TX,Harris County,4676913,CO,150.0
2018,Texas,Jefferson,245,48,2.0,48245,0.1812121212121212,TX,Jefferson County,252655,CO,150.0
2018,Texas,Tarrant,439,48,1.0,48439,0.47068493150684937,TX,Tarrant County,2080998,CO,150.0
2018,Texas,Travis,453,48,1.0,48453,0.4684931506849315,TX,Travis County,1246693,CO,150.0
2019,California,Alameda,001,06,1.0,06001,0.55,CA,Alameda County,1668412,CO,150.0
2019,California,Butte,007,06,3.0,06007,0.3159779614325069,CA,Butte County,218726,CO,173.0
2019,California,Contra Costa,013,06,1.0,06013,0.4132596685082873,CA,Contra Costa County,1152883,CO,129.0
