"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","19","79.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/02/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/03/2022","AQS","420010001","1","0","ppm","0","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/04/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/05/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/06/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/07/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/08/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/09/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/10/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/11/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/12/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/13/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/14/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/15/2022","AQS","420010001","1","0.1","ppm","1","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/16/2022","AQS","420010001","1","0.2","ppm","2","Arendtsville","24","100.0000","42101","Carbon monoxide","093","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
