"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","420010001","1","8.4","ppb","8","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/02/2022","AQS","420010001","1","4.2","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/03/2022","AQS","420010001","1","2.2","ppb","2","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/04/2022","AQS","420010001","1","10.9","ppb","9","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/05/2022","AQS","420010001","1","8.9","ppb","8","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/06/2022","AQS","420010001","1","8.4","ppb","8","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/07/2022","AQS","420010001","1","5.5","ppb","5","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/08/2022","AQS","420010001","1","7.5","ppb","7","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/09/2022","AQS","420010001","1","7.6","ppb","7","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/10/2022","AQS","420010001","1","2.8","ppb","2","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/11/2022","AQS","420010001","1","4.9","ppb","4","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/12/2022","AQS","420010001","1","7.9","ppb","7","Arendtsville","22","92.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/13/2022","AQS","420010001","1","22.9","ppb","21","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/14/2022","AQS","420010001","1","15.4","ppb","14","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/15/2022","AQS","420010001","1","3","ppb","3","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/16/2022","AQS","420010001","1","14.1","ppb","13","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/17/2022","AQS","420010001","1","6.7","ppb","6","Arendtsville","23","96.0000","42602","Nitrogen dioxide (NO2)","099","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
